ReconDate,BizID,Amount,PremiumID,AllocatedAmount,PaymentIDs_Used,Status,Shortfall
2026-01-31,20004599,1200.0,PREM_00187,1200.0,PAY_00082,Fully Paid,0.0
2026-01-31,20004631,1200.0,PREM_00188,1200.0,PAY_00123,Fully Paid,0.0
2026-01-31,20004791,1200.0,PREM_00189,1200.0,PAY_00189,Fully Paid,0.0
2026-01-31,20004934,1200.0,PREM_00190,1200.0,PAY_00190,Fully Paid,0.0
2026-01-31,20005133,1200.0,PREM_00191,1200.0,PAY_00191,Fully Paid,0.0
2026-01-31,20006820,1200.0,PREM_00192,1200.0,PAY_00192,Fully Paid,0.0
2026-01-31,20006909,1200.0,PREM_00193,0.0,,Unpaid,1200.0
2026-01-31,20007012,1200.0,PREM_00194,1200.0,PAY_00232,Fully Paid,0.0
2026-01-31,20009083,1200.0,PREM_00195,0.0,,Unpaid,1200.0
2026-01-31,20009957,1200.0,PREM_00196,1200.0,PAY_00304,Fully Paid,0.0
2026-01-31,20009979,1200.0,PREM_00197,1200.0,PAY_00276,Fully Paid,0.0
2026-01-31,20010224,1200.0,PREM_00198,1200.0,PAY_00233,Fully Paid,0.0
2026-01-31,20011122,1200.0,PREM_00199,1200.0,PAY_00124,Fully Paid,0.0
2026-01-31,20011353,1200.0,PREM_00200,1200.0,PAY_00194,Fully Paid,0.0
2026-01-31,20011653,1200.0,PREM_00201,1200.0,PAY_00234,Fully Paid,0.0
2026-01-31,20011690,1200.0,PREM_00202,1200.0,PAY_00195,Fully Paid,0.0
2026-01-31,20011819,1200.0,PREM_00203,1200.0,PAY_00125,Fully Paid,0.0
2026-01-31,20012026,1200.0,PREM_00204,0.0,,Unpaid,1200.0
2026-01-31,20012250,1200.0,PREM_00205,1200.0,PAY_00305,Fully Paid,0.0
2026-01-31,20012457,1200.0,PREM_00206,1200.0,PAY_00127,Fully Paid,0.0
2026-01-31,20012471,1200.0,PREM_00207,1200.0,PAY_00128,Fully Paid,0.0
2026-01-31,20012557,1200.0,PREM_00208,1200.0,PAY_00196,Fully Paid,0.0
2026-01-31,20013279,1200.0,PREM_00209,1200.0,PAY_00129,Fully Paid,0.0
2026-01-31,20013876,1200.0,PREM_00210,1200.0,PAY_00277,Fully Paid,0.0
2026-01-31,20014326,1200.0,PREM_00211,1200.0,PAY_00257,Fully Paid,0.0
2026-01-31,20014578,1200.0,PREM_00212,1200.0,PAY_00278,Fully Paid,0.0
2026-01-31,20015149,1200.0,PREM_00213,0.0,,Unpaid,1200.0
2026-01-31,20015319,1200.0,PREM_00214,1200.0,PAY_00109,Fully Paid,0.0
2026-01-31,20015322,1200.0,PREM_00215,1200.0,PAY_00105,Fully Paid,0.0
2026-01-31,20015343,1200.0,PREM_00216,0.0,,Unpaid,1200.0
2026-01-31,20015840,1200.0,PREM_00217,1200.0,PAY_00279,Fully Paid,0.0
2026-01-31,20016443,1200.0,PREM_00218,1200.0,PAY_00284,Fully Paid,0.0
2026-01-31,20016508,1200.0,PREM_00219,1200.0,PAY_00283,Fully Paid,0.0
2026-01-31,20016563,1200.0,PREM_00220,1200.0,PAY_00197,Fully Paid,0.0
2026-01-31,20016660,1200.0,PREM_00221,1200.0,PAY_00154,Fully Paid,0.0
2026-01-31,20016981,1200.0,PREM_00222,1200.0,PAY_00070,Fully Paid,0.0
2026-01-31,20017114,1200.0,PREM_00223,0.0,,Unpaid,1200.0
2026-01-31,20017223,1200.0,PREM_00224,0.0,,Unpaid,1200.0
2026-01-31,20017295,1200.0,PREM_00225,1200.0,PAY_00071,Fully Paid,0.0
2026-01-31,20017526,1200.0,PREM_00226,0.0,,Unpaid,1200.0
2026-01-31,20017529,1200.0,PREM_00227,1200.0,PAY_00056,Fully Paid,0.0
2026-01-31,20017683,1200.0,PREM_00228,1200.0,PAY_00258,Fully Paid,0.0
2026-01-31,20017823,1200.0,PREM_00229,1200.0,PAY_00131,Fully Paid,0.0
2026-01-31,20017959,1200.0,PREM_00230,0.0,,Unpaid,1200.0
2026-01-31,20017976,1200.0,PREM_00231,1200.0,PAY_00176,Fully Paid,0.0
2026-01-31,20018092,1200.0,PREM_00232,1200.0,PAY_00199,Fully Paid,0.0
2026-01-31,20018177,1200.0,PREM_00233,1200.0,PAY_00132,Fully Paid,0.0
2026-01-31,20018468,1200.0,PREM_00234,1200.0,PAY_00133,Fully Paid,0.0
2026-01-31,20018993,1200.0,PREM_00235,1200.0,PAY_00072,Fully Paid,0.0
2026-01-31,20019128,1200.0,PREM_00236,1200.0,PAY_00200,Fully Paid,0.0
2026-01-31,20019297,1200.0,PREM_00237,1200.0,PAY_00201,Fully Paid,0.0
2026-01-31,20019327,1200.0,PREM_00238,0.0,,Unpaid,1200.0
2026-01-31,20019480,1200.0,PREM_00239,0.0,,Unpaid,1200.0
2026-01-31,20019484,1200.0,PREM_00240,1200.0,PAY_00073,Fully Paid,0.0
2026-01-31,20019530,1200.0,PREM_00241,1200.0,PAY_00237,Fully Paid,0.0
2026-01-31,20019716,1200.0,PREM_00242,1200.0,PAY_00134,Fully Paid,0.0
2026-01-31,20019718,1200.0,PREM_00243,1200.0,PAY_00059,Fully Paid,0.0
2026-01-31,20019945,1200.0,PREM_00244,1200.0,PAY_00203,Fully Paid,0.0
2026-01-31,20020528,1200.0,PREM_00245,1200.0,PAY_00238,Fully Paid,0.0
2026-01-31,20020853,1200.0,PREM_00246,1200.0,PAY_00135,Fully Paid,0.0
2026-01-31,20021015,1200.0,PREM_00247,1200.0,PAY_00259,Fully Paid,0.0
2026-01-31,20021897,1200.0,PREM_00248,1200.0,PAY_00161,Fully Paid,0.0
2026-01-31,20022037,1200.0,PREM_00249,0.0,,Unpaid,1200.0
2026-01-31,20022490,1200.0,PREM_00250,1200.0,PAY_00074,Fully Paid,0.0
