ReconDate,BizID,Amount
31/01/2026,20031919,1200.0
31/01/2026,20032121,1200.0
31/01/2026,20032792,1200.0
31/01/2026,20032987,1200.0
31/01/2026,20033207,1200.0
31/01/2026,20033551,1200.0
31/01/2026,20033785,1200.0
31/01/2026,20034353,1200.0
31/01/2026,20034561,1200.0
31/01/2026,20034667,1200.0
31/01/2026,20034694,1200.0
31/01/2026,20034744,1200.0
31/01/2026,20034829,1200.0
31/01/2026,20035124,1200.0
31/01/2026,20035634,1200.0
31/01/2026,20035644,1200.0
31/01/2026,20036208,1200.0
31/01/2026,20036404,1200.0
31/01/2026,20036863,1200.0
31/01/2026,20037440,1200.0
31/01/2026,20037697,1200.0
31/01/2026,20037747,1200.0
31/01/2026,20038098,1200.0
31/01/2026,20038101,1200.0
31/01/2026,20038171,1200.0
31/01/2026,20038229,1200.0
31/01/2026,20038630,1200.0
31/01/2026,20038777,1200.0
31/01/2026,20039119,1200.0
31/01/2026,20039293,1200.0
31/01/2026,20026595,1199.02
31/01/2026,20039230,1092.53
31/01/2026,13573,1002.0
31/01/2026,7547,956.25
31/01/2026,20028394,868.08
31/01/2026,7720,857.0
31/01/2026,20018702,771.0
31/01/2026,20019479,715.0
31/01/2026,22577,710.0
31/01/2026,20037160,709.0
31/01/2026,20023510,702.75
31/01/2026,24234,610.8
31/01/2026,19239,600.0
31/01/2026,22862,600.0
31/01/2026,20016043,600.0
31/01/2026,20016666,600.0
31/01/2026,20013918,586.5
31/01/2026,20036137,420.9
31/01/2026,10528,322.5
31/01/2026,20018770,314.5
31/01/2026,20032888,30.0
31/01/2026,20016534,23.5
31/01/2026,20027510,22.58
31/01/2026,3264,10.0
